Voornaam;Achternaam;Email;Bedrag;Subsidienaam;Mobiel nummer;Referentie veld;Begindatum;Einddatum
Leighton;Lampitt;llampitt0@businessweek.com;100;MaaSBurger;+3166124853;74UCZ8;11/06/2018;Open
Ulla;Ramsdale;uramsdale1@state.gov;100;MaaSBurger;+3168721010;17SOF5;22/06/2018;Open
Carmine;Newland;cnewland2@sitemeter.com;100;MaaSBurger;+3167173458;69OZG9;21/06/2018;Open
Gay;McGinley;gmcginley3@gov.uk;100;MaaSBurger;+3163691137;66DIW1;30/06/2018;Open
Delaney;Gunther;dgunther4@census.gov;100;MaaSBurger;+3163055162;76BHJ5;07/06/2018;Open
Carey;Kerrod;ckerrod5@freewebs.com;100;MaaSBurger;+3160894726;82AET2;14/06/2018;Open
Clarissa;Maile;cmaile6@sbwire.com;100;MaaSBurger;+3166521525;08CSC0;07/06/2018;Open
Rhea;Ohanessian;rohanessian7@jimdo.com;100;MaaSBurger;+3162275534;91TMZ1;26/06/2018;Open
Uriel;Rehn;urehn8@privacy.gov.au;100;MaaSBurger;+3163560568;85KFS8;22/06/2018;Open
Maryjo;Seedhouse;mseedhouse9@naver.com;100;MaaSBurger;+3162111161;75DOH8;09/06/2018;Open
